X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,IdAccident,Fecha,TipoAccdte,Tipo_Accdt,Tipo__CONA,Zona,Causa,Causa__CON,Calzada,TipoCalzad,EstadoCalz,CondicionC,Estado_Adm,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Hora
-70.1480139,-20.2273588,1,1,REGION TARAPACA,1101,IQUIQUE,TOMAS BONILLA,AVDA. ARTURO PRAT,0,"Avenida Arturo Prat Chacón & Tomás Bonilla B., Iquique, Tarapacá, Chile",-20.2273588,-70.1480139,1,GEOMETRIC_CENTER,2018,1098862,2018/05/11 00:00:00+00,63,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANO,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,2,07:12:00
-70.1387314,-20.2304174,2,1,REGION TARAPACA,1101,IQUIQUE,ARTURO PEREZ CANTO, ,2263,"Arturo Pérez Canto 2263, Iquique, Tarapacá, Chile",-20.2304174,-70.1387314,1,ROOFTOP,2018,1099052,2018/05/13 00:00:00+00,62,CHOQUE FRENTE/LADO,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,3,08:00:00
-70.1303701,-20.2330169,3,1,REGION TARAPACA,1101,IQUIQUE,CERRO DRAGON, ,2499,"Cerro Dragón 2499, Iquique, Tarapacá, Chile",-20.2330169,-70.1303701,1,RANGE_INTERPOLATED,2018,1099065,2018/05/13 00:00:00+00,51,CHOQUE FRONTAL,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,1,08:30:00
-70.1393996,-20.2199419,4,1,REGION TARAPACA,1101,IQUIQUE,HEROES DE LA CONCEPCION,BULNES,0,"Manuel Bulnes & Avenida Héroes de la Concepción, Iquique, Tarapacá, Chile",-20.2199419,-70.1393996,1,GEOMETRIC_CENTER,2018,1099085,2018/05/13 00:00:00+00,33,COLISION POR ALCANCE,COLISION,URBANO,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,1,17:10:00
-70.1370139,-20.2284457,5,1,REGION TARAPACA,1101,IQUIQUE,COLO COLO, ,2025,"Colo Colo 2025, Iquique, Tarapacá, Chile",-20.2284457,-70.1370139,1,RANGE_INTERPOLATED,2018,1099091,2018/05/13 00:00:00+00,63,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,1,17:30:00
-70.0992234,-20.2680481,6,1,REGION TARAPACA,1107,ALTO HOSPICIO,LOS PERALES,CHACA,0,"Los Perales & Chaca, Alto Hospicio, Tarapacá, Chile",-20.2680481,-70.0992234,1,GEOMETRIC_CENTER,2018,1099214,2018/05/13 00:00:00+00,30,COLISION,COLISION,URBANO,CONDUCCION EN ESTADO DE EBRIEDAD,ALCOHOL EN CONDUCTOR,BIDIRECCIONAL,ASFALTO,REGULAR,SECO,DESPEJADO,0,0,0,2,1,18:20:00
-70.1257647,-20.2442983,7,1,REGION TARAPACA,1101,IQUIQUE,LAGUNA VERDE, ,2978,"Laguna Verde 2978, Iquique, Tarapacá, Chile",-20.2442983,-70.1257647,1,RANGE_INTERPOLATED,2018,1099445,2018/05/13 00:00:00+00,52,CHOQUE LATERAL,CHOQUE,URBANO,CONDUCCION EN ESTADO DE EBRIEDAD,ALCOHOL EN CONDUCTOR,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,2,03:30:00
-70.14459,-20.239015,8,1,REGION TARAPACA,1101,IQUIQUE,AVDA. HEROES DE LA CONCEPCION, ,2855,"Av. Héroes de la Concepción 2855, Iquique, Tarapacá, Chile",-20.239015,-70.14459,1,ROOFTOP,2018,1099488,2018/05/14 00:00:00+00,52,CHOQUE LATERAL,CHOQUE,URBANO,"FALLAS MECANICAS, NEUMATICOS",FALLAS MECANICAS,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,1,17:05:00
-70.1524706,-20.2120381,9,1,REGION TARAPACA,1101,IQUIQUE,SIMON BOLIVAR,RAMIREZ,0,"SIMÓN BOLIVAR 202, OFICINA 308, Iquique, Tarapacá, Chile",-20.2120381,-70.1524706,1,ROOFTOP,2018,1099512,2018/05/14 00:00:00+00,32,COLISION LATERAL,COLISION,URBANO,"SEÑALIZACION, DESOBEDECER SEÑAL CEDA EL PASO",DESOBEDIENCIA A SEÑALIZACION,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,2,13:30:00
-70.1337646,-20.2572701,10,1,REGION TARAPACA,1101,IQUIQUE,ARTURO PRAT CHACON,COSTANERA,0,"Avenida Arturo Prat Chacón & Costanera, Iquique, Tarapacá, Chile",-20.2572701,-70.1337646,1,GEOMETRIC_CENTER,2018,1099893,2018/05/15 00:00:00+00,10,ATROPELLO,ATROPELLO,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,1,08:20:00
-70.1503467,-20.2174291,11,1,REGION TARAPACA,1101,IQUIQUE,OBISPO LABBE,ZEGERS,0,"Obispo Labbé & Vicente Zegers, Iquique, Tarapacá, Chile",-20.2174291,-70.1503467,1,GEOMETRIC_CENTER,2018,1099899,2018/05/15 00:00:00+00,62,CHOQUE FRENTE/LADO,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,1,11:40:00
-70.149352,-20.2243124,12,1,REGION TARAPACA,1101,IQUIQUE,CESPEDES Y GONZALEZ,VIVAR,0,"Céspedes y González & Vivar, Iquique, Tarapacá, Chile",-20.2243124,-70.149352,1,GEOMETRIC_CENTER,2018,1099908,2018/05/15 00:00:00+00,32,COLISION LATERAL,COLISION,URBANO,"SEÑALIZACION, DESOBEDECER SEÑAL PARE",DESOBEDIENCIA A SEÑALIZACION,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,1,11:30:00
