X,Y,FID,Ano,Idaccident,Codregion,Region,Comuna,Zona,Calle1,Calle2,Numero,lat,lng,Claseaccid,Fecha,Cód_Comun,Cód_Tipo_,Tipo_Accid,Cód_Tipo1,Tipo__CONA,Cód_Zona,Cód_Ubica,Ubicación,Cód_Causa,Causa__CON,Cód_Cau_1,Causa,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Cód_Estad,Estado_Cal,Cód_Condi,Condición,Cód_Est_1,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,hora1
-70.099518,-20.251484,1,2019,1224116,1,REGION TARAPACA,ALTO HOSPICIO,URBANA,A-616, ,3010,-20.251484,-70.099518,1,2019/08/15 00:00:00+00,1107,51,CHOQUE FRONTAL,40,CHOQUE,1,1,TRAMO DE VIA RECTA,12,FALLAS MECANICAS,1,FALLAS MECANICAS FRENOS,1,1,2,BIDIRECCIONAL,6,TIERRA,2,REGULAR,0, ,1,DESPEJADO,0,0,0,0,13:00:00
-70.108345,-20.299633,2,2019,1173898,1,REGION TARAPACA,ALTO HOSPICIO,URBANA,ALTOS DEL SUR, ,2,-20.299633,-70.108345,1,2019/02/27 00:00:00+00,1107,53,CHOQUE POSTERIOR,40,CHOQUE,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,93,CONDUCIR VEHICULO EN RETROCESO,1,0,1,UNIDIRECCIONAL,2,ASFALTO,2,REGULAR,1,SECO,1,DESPEJADO,0,0,0,0,15:00:00
-70.104507,-20.259193,3,2019,1246030,1,REGION TARAPACA,ALTO HOSPICIO,URBANA,CALLE CINCO, ,3451,-20.259193,-70.104507,1,2019/11/26 00:00:00+00,1107,51,CHOQUE FRONTAL,40,CHOQUE,1,1,TRAMO DE VIA RECTA,4,ALCOHOL EN CONDUCTOR,24,CONDUCCION EN ESTADO DE EBRIEDAD,1,0,1,UNIDIRECCIONAL,2,ASFALTO,2,REGULAR,1,SECO,1,DESPEJADO,0,0,0,1,19:00:00
-70.108017,-20.274246,4,2019,1195665,1,REGION TARAPACA,ALTO HOSPICIO,URBANA,CALLE UNO, ,2697,-20.274246,-70.108017,1,2019/05/11 00:00:00+00,1107,63,CHOQUE FRENTE/POSTERIOR,40,CHOQUE,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,1,1,2,BIDIRECCIONAL,2,ASFALTO,2,REGULAR,1,SECO,1,DESPEJADO,0,0,0,0,18:00:00
-70.104874,-20.259291,5,2019,1210472,1,REGION TARAPACA,ALTO HOSPICIO,URBANA,CALLE UNO, ,2924,-20.259291,-70.104874,1,2019/07/12 00:00:00+00,1107,10,ATROPELLO,10,ATROPELLO,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,2,0,1,UNIDIRECCIONAL,2,ASFALTO,2,REGULAR,1,SECO,1,DESPEJADO,0,0,0,1,19:03:00
-70.104874,-20.259291,6,2019,1216510,1,REGION TARAPACA,ALTO HOSPICIO,URBANA,CALLE UNO, ,3624,-20.259291,-70.104874,1,2019/07/25 00:00:00+00,1107,67,CHOQUE POSTERIOR/FRENTE,40,CHOQUE,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,93,CONDUCIR VEHICULO EN RETROCESO,1,1,2,BIDIRECCIONAL,2,ASFALTO,2,REGULAR,1,SECO,1,DESPEJADO,0,0,0,0,20:40:00
-70.102371,-20.269693,7,2019,1226387,1,REGION TARAPACA,ALTO HOSPICIO,URBANA,CHACA, ,3058,-20.269693,-70.102371,1,2019/09/09 00:00:00+00,1107,51,CHOQUE FRONTAL,40,CHOQUE,1,1,TRAMO DE VIA RECTA,9,PERDIDA CONTROL VEHICULO,95,PERDIDA CONTROL VEHICULO,1,1,2,BIDIRECCIONAL,2,ASFALTO,2,REGULAR,1,SECO,1,DESPEJADO,0,0,0,0,13:30:00
-70.107918,-20.27817,8,2019,1194386,1,REGION TARAPACA,ALTO HOSPICIO,URBANA,CIRCUNVALACION, ,3526,-20.27817,-70.107918,1,2019/05/18 00:00:00+00,1107,30,COLISION,30,COLISION,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,2,REGULAR,1,SECO,1,DESPEJADO,0,0,0,3,17:50:00
-70.109589,-20.274548,9,2019,1194379,1,REGION TARAPACA,ALTO HOSPICIO,URBANA,CIRCUNVALACION, ,2952,-20.274548,-70.109589,1,2019/05/19 00:00:00+00,1107,62,CHOQUE FRENTE/LADO,40,CHOQUE,1,1,TRAMO DE VIA RECTA,9,PERDIDA CONTROL VEHICULO,95,PERDIDA CONTROL VEHICULO,2,2,2,BIDIRECCIONAL,2,ASFALTO,2,REGULAR,1,SECO,1,DESPEJADO,0,0,0,0,21:15:00
-70.109589,-20.274548,10,2019,1236140,1,REGION TARAPACA,ALTO HOSPICIO,URBANA,CIRCUNVALACION, ,2894,-20.274548,-70.109589,1,2019/10/14 00:00:00+00,1107,30,COLISION,30,COLISION,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,93,CONDUCIR VEHICULO EN RETROCESO,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,2,REGULAR,1,SECO,1,DESPEJADO,0,0,0,0,07:50:00
