X,Y,FID,POINT_X,POINT_Y,Idaccident,Año,Claseaccid,Fecha,Cód_Regi,Región,Cód_Comun,Comuna,Cód_Tipo,Tipo_Accid,Cód_Tip_1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Causa,Causa,Cód_Cau_1,Causa__CON,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Intersecci,Número,Ruta,Cód_Ruta,Ubicaci_1,Pistas_de,Pistas_d_1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Cód_Estad,Estado_Cal,Cód_Condi,Condición,Cód_Est_1,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Hora_1
-7809689.15259664,-2298589.23772118,1,-70.155631,-20.2156,1409189,2022,1,2022/01/01 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,32,COLISION LATERAL,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,ARTURO PRAT,0,GRUMETE BOLADOS,ARTURO PRAT - GRUMETE BOLADOS,0,0,0,0,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,01:00:00
-7807329.63580174,-2300189.62144459,2,-70.134435,-20.22909,1409196,2022,1,2022/01/01 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,63,CHOQUE FRENTE/POSTERIOR,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,HERNAN FUENZALIDA,0,13 ORIENTE,13 ORIENTE - HERNAN FUENZALIDA,0,0,0,0,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,14:11:00
-7808735.62323436,-2299871.61682995,3,-70.147066,-20.226409,1409197,2022,1,2022/01/01 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,32,COLISION LATERAL,30,COLISION,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,64,SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO,10,DESOBEDIENCIA A SEÑALIZACION,0,AMUNATEGUI,0,JOSE MIGUEL CARRERA,AMUNATEGUI - JOSE MIGUEL CARRERA,0,0,0,0,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,20:40:00
-7808535.39286627,-2297539.85718228,4,-70.145267,-20.206753,1409474,2022,1,2022/01/01 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,24,CONDUCCION EN ESTADO DE EBRIEDAD,4,ALCOHOL EN CONDUCTOR,0,ARTURO PRAT,0,AMUNATEGUI,AMUNATEGUI - ARTURO PRAT,0,0,0,0,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,2,1,10:00:00
-7809228.77971052,-2298035.37639044,5,-70.151496,-20.210931,1409483,2022,1,2022/01/01 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,34,COLISION PERPENDICULAR,30,COLISION,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,62,SEÑALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO,10,DESOBEDIENCIA A SEÑALIZACION,0,SOTOMAYOR,0,ARTURO PRAT,ARTURO PRAT - SOTOMAYOR,0,0,0,0,2,2,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,12:40:00
-7807331.68408037,-2300020.39793721,6,-70.134454,-20.227664,1410085,2022,1,2022/01/01 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,62,CHOQUE FRENTE/LADO,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,TOMAS BONILLA,0,0,- TOMAS BONILLA,2182,0,0,0,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,19:00:00
-7808240.84149363,-2300012.34253834,7,-70.142621,-20.227596,1410102,2022,1,2022/01/03 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,34,COLISION PERPENDICULAR,30,COLISION,1,URBANA,14,CRUCE CON SEÑAL PARE,65,SEÑALIZACION DESOBEDECER SEÑAL PARE,10,DESOBEDIENCIA A SEÑALIZACION,0,21 DE MAYO,0,TOMAS BONILLA,21 DE MAYO - TOMAS BONILLA,0,0,0,0,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,1,0,2,0,08:30:00
-7803595.99121248,-2307508.50634892,8,-70.100895,-20.290769,1410318,2022,1,2022/01/01 00:00:00+00,1,REGION TARAPACA,1107,ALTO HOSPICIO,50,CHOQUE,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,GLADYS MARIN,0,FRANCIA,FRANCIA - GLADYS MARIN,0,0,0,0,1,1,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,4,05:30:00
-7804548.73020638,-2308306.97350623,9,-70.109454,-20.297497,1410325,2022,1,2022/01/01 00:00:00+00,1,REGION TARAPACA,1107,ALTO HOSPICIO,50,CHOQUE,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,PASAJE TREINTA Y SEIS,0,CALLE NUEVE,CALLE NUEVE - PASAJE TREINTA Y SEIS,0,0,0,0,1,1,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,1,14:16:00
-7803762.5696985,-2307919.49155035,10,-70.102392,-20.294232,1410332,2022,1,2022/01/02 00:00:00+00,1,REGION TARAPACA,1107,ALTO HOSPICIO,32,COLISION LATERAL,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,29,CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION,1,IMPRUDENCIA DEL CONDUCTOR,0,POLONIA,0,GLADYS MARIN,GLADYS MARIN - POLONIA,0,0,0,0,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,1,0,1,15:30:00
