Direccion,Latitud,Longitud
"IQUIQUE, PEDRO PRADO, ORELLA",-20.2212841,-70.1348904
"IQUIQUE, Avenida La Tirana CALLE 6",-20.2543166,-70.1260602
"IQUIQUE, JUAN MARTINEZ, SARGENTO ALDEA",-20.2160713,-70.1451094
"PICA, CAMINO PRIVADO MINERA COLLAHUASI, 24",-20.9814192,-68.6379674
"IQUIQUE, THOMPSON, OSCAR BONILLA",-20.2154831,-70.1401029
"IQUIQUE, THOMPSON, VIVAR",-20.2148742,-70.1485661
"IQUIQUE, RAMIREZ, 1270",-20.2202073,-70.1494388
"IQUIQUE, RANCAGUA, CACHARPAYAS",-20.2350388,-70.1325303
"IQUIQUE, RAMIREZ, 1162",-20.2191755,-70.1493946
"IQUIQUE, ERRAZURIS, THOMPSON",-20.2152505,-70.1435156
"IQUIQUE, RAMIREZ, GOROSTIAGA",-20.2168749,-70.1494213
"IQUIQUE, 18 DE SEPTIEMBRE, LIBERTAD",-20.2307033,-70.1356692
"ALTO HOSPICIO, Avenida Los Alamos CON Ramon Perez Opazo 2500",-20.2740456,-70.1008643
"IQUIQUE, Avenida Arturo Prat AEROPUERTO",-20.244478,-70.1410328
"IQUIQUE, Tadeo Haenke GENARO GALLO",-20.2394749,-70.1403552
"IQUIQUE, la torre, 21 de mayo",-20.2307033,-70.1356692
"IQUIQUE, OSCAR BONILLA, DIEGO PORTALES",-20.2297964,-70.1422898
"ALTO HOSPICIO, Avenida LOS CONODRES CON TARAPACA, 2380",-20.2758634,-70.0977978
"IQUIQUE, OHIGGINS, VIVAR",-20.218536,-70.1488892
"IQUIQUE, Avenida CHIPANA",-20.2414367,-70.1342598
"IQUIQUE, Avenida Arturo Prat",-20.244478,-70.1410328
"IQUIQUE, OBISPO LABBE, MANUEL RODRIGUEZ",-20.2233179,-70.1505699
"ALTO HOSPICIO, Avenida LOS CONDORES CON LA GRANJA, 3290",-20.2719484,-70.1029629
"ALTO HOSPICIO, Avenida Las Americas CON CARMELA CARVAJAL, 2900",-20.2800542,-70.1007563
"ALTO HOSPICIO, PASAJE SAN FRANCISCO, 4151",-20.278689,-70.0910657
"IQUIQUE, gomez carreño",-20.2333352,-70.1324357
"IQUIQUE, Avenida Arturo Prat",-20.244478,-70.1410328
"IQUIQUE, HEROES Heroes de la Concepcion CESPEDES Y GONZALEZ",-20.2249237,-70.13966
"ALTO HOSPICIO, LOS MANZANOS CON Los Alamos 2590",-20.2686722,-70.1049169
"IQUIQUE, Tadeo Haenke Cerro Dragón",-20.2386682,-70.1296108
"IQUIQUE, LOS RIELES, ORELLA",-20.2208235,-70.1432206
"IQUIQUE, EMILIO RECABARREN, Avenida Arturo Prat",-20.244478,-70.1410328
"ALTO HOSPICIO, Avenida Las Americas CON PAULA JARAQUEMADA, 2890",-20.2828255,-70.1020691
"ALTO HOSPICIO, Avenida Los Alamos CON LOS NOGALES, 3200",-20.2662507,-70.1025442
"IQUIQUE, HEROES Heroes de la Concepcion DIEGO PORTALES",-20.2300539,-70.1409672
"IQUIQUE, PEDRO PRADO, 2520",-20.2355547,-70.1363476
"IQUIQUE, OHHIGGINS, OBISPO LABBE",-20.2184392,-70.1503783
"IQUIQUE, VIVAR, SARGENTE ALDEA",-20.2159485,-70.1486532
"IQUIQUE, DIEGO PORTALES, Avenida PRAT",-20.2414367,-70.1342598
"IQUIQUE, PROGRESO, 1926",-20.2272577,-70.1321482
"IQUIQUE, 18 dfe septiembre, diego portales",-20.2306665,-70.1371297
"IQUIQUE, FARNCISCO BILBAO, BALMACEDA",-20.2653785,-70.126922
"ALTO HOSPICIO, LOS NOGALES, 3100",-20.2669704,-70.0993167
"IQUIQUE, LIBERTAD, OSCAR BONILLA",-20.2194645,-70.1403842
"IQUIQUE, Avenida Arturo Prat DIEGO PORTALES",-20.244478,-70.1410328
"IQUIQUE, FRESIA, 231",-20.2280658,-70.1358063
"POZO ALMONTE, INTERNA QUEBRADA BLANCA, 62",-20.2570503,-69.7857064
"IQUIQUE, Tadeo Haenke HEROES Heroes de la Concepcion",-20.2405381,-70.1447578
"IQUIQUE, GENARO GALLO, Avenida PLAYA BRAVA",-20.2422792,-70.1413978
"IQUIQUE, CESPEDES Y GONZALEZ, AMUNATEGUI",-20.2244134,-70.14698
"ALTO HOSPICIO, Avenida COSTANERA, 3234",-20.2686722,-70.1049169
"IQUIQUE, PEDRO PRADO, 2380",-20.2316357,-70.1354618
"POZO ALMONTE, calle peña chica, 256",-20.2654028,-69.7831943
"IQUIQUE, Circunvalación SOTOMAYOR",-20.2111333,-70.1416166
"IQUIQUE, Tadeo Haenke PEDRO PRADO",-20.2414031,-70.1341858
"IQUIQUE, JUAN GIRAOS, 1649",-20.2414367,-70.1342598
"IQUIQUE, HEROES Heroes de la Concepcion 2555",-20.2126288,-70.1385179
"IQUIQUE, Circunvalación MANZANA 5",-20.230544,-70.129033
"IQUIQUE, MAULE, LAS CARPAS",-20.2374095,-70.1293885
"IQUIQUE, Salvador Allende Ramon Perez Opazo",-20.2542691,-70.1314071
"POZO ALMONTE, comercio con calle cascada, 0",-20.2570503,-69.7857064
"IQUIQUE, LOS MAITENES, ORELLA",-20.2213609,-70.1334644
"IQUIQUE, OBISPO LABBE, RIQUELME",-20.2213589,-70.1504909
"IQUIQUE, 18 DE SEPTIEMBRE, SARGENTO ALDEA",-20.2161654,-70.142953
"IQUIQUE, SOTOMAYOR, Avenida PRAT",-20.2111333,-70.1416166
"IQUIQUE, SANTIAGO POLANCO, YABRICOYA",-20.2473355,-70.1356494
"IQUIQUE, 18 DE SEPTIEMBRE, ORELLA",-20.2208235,-70.1432206
"IQUIQUE, ORELLA, BARROS ARANA",-20.2205893,-70.147605
"IQUIQUE, Avenida HEROES Heroes de la Concepcion LATORRE",-20.2414367,-70.1342598
"IQUIQUE, Avenida HÉROES DE LA CONCEPCIÓN, ORELLA",-20.2210371,-70.1394955
"IQUIQUE, SOTOMAYOR, 657",-20.2110999,-70.14873
"IQUIQUE, Avenida La Tirana PJE. VALLE VERDE",-20.2543166,-70.1260602
"IQUIQUE, RAMIREZ, GOROSTIAGA",-20.2168749,-70.1494213
"IQUIQUE, Avenida PEDRO PRADO, 2345",-20.2325421,-70.1359347
"IQUIQUE, GENARO GALLO, LAS ROSAS",-20.2373067,-70.139562
"ALTO HOSPICIO, Salitrera ROSARIO, 2988",-20.2713462,-70.1020473
"IQUIQUE, Avenida La Tirana 2913",-20.2388841,-70.1288631
"IQUIQUE, MANUEL RODRIGUEZ, 18 DE SEPTIEMBRE",-20.2236,-70.1434542
"IQUIQUE, OSCAR BONILLA, PASAJE 2",-20.2264987,-70.1411131
"IQUIQUE, Avenida Arturo Prat 4200",-20.2674582,-70.1294224
"IQUIQUE, LAS ZAMPOÑAS, PEDRO DE VALDIVIA",-20.2339293,-70.1340386
"IQUIQUE, Avenida Cerro Dragón EL MONTE",-20.2455526,-70.1292691
"IQUIQUE, ESMERALDA, RAMIREZ",-20.2307033,-70.1356692
"IQUIQUE, SANTIAGO POLANCO, Avenida PLAYA BRAVA",-20.2478923,-70.1368759
"IQUIQUE, Avenida La Tirana 1582",-20.2241521,-70.1313395
"IQUIQUE, Avenida FRANCISCO VERGARA, RAMON OPAZO",-20.255036,-70.1327603
"IQUIQUE, Avenida CASTRI RAMOS, Avenida Cerro Dragón",-20.2443662,-70.129305
"ALTO HOSPICIO, Avenida Circunvalación CRUCE CON CALLE SAN PABLO, Avenida Circunvalación CRUCE CON CALLE SAN PALBO",-20.2686722,-70.1049169
"IQUIQUE, 21 DE MAYO, LATORRE",-20.2307033,-70.1356692
"IQUIQUE, ELIAS LAFERTE, ORELLA",-20.2307033,-70.1356692
"ALTO HOSPICIO, Avenida LOS ALAMSO CON Avenida Circunvalación, Avenida Circunvalación CON Avenida Los Alamos",-20.2722788,-70.1097974
"IQUIQUE, Salitrera VICTORIA, MAPOCHO",-20.2049542,-70.1369169
"IQUIQUE, BULNES, AMUNÁTEGUI",-20.2195518,-70.1467191
"IQUIQUE, CHINTAGUAY, Avenida PEDRO PRADO",-20.226475,-70.1352834
"POZO ALMONTE, BALMACEDA, 250",-20.2598135,-69.7865946
"POZO ALMONTE, SANFUENTES, 700",-20.2570503,-69.7857064
"IQUIQUE, 21 DE MAYO, ORELLA",-20.2208923,-70.1421601
"IQUIQUE, CESPEDES Y GONZÁLEZ, GENARO GALLO",-20.2249004,-70.1370717
"IQUIQUE, ESMERALDA, AMUNATEGUI",-20.2176315,-70.1465983
"IQUIQUE, Avenida PRAT, JOSÉ MIGUEL CARRERA",-20.2414367,-70.1342598
"IQUIQUE, 12 DE FEBRERO, TARAPACA",-20.2198336,-70.1414293
"ALTO HOSPICIO, HUNATAJAYA CON LOS MANZANOS, 2590",-20.2623469,-70.1047977
"IQUIQUE, Avenida Arturo Prat 2330",-20.2313416,-70.1459692
"IQUIQUE, BULNES, JUAN MARTINEZ",-20.219616,-70.1454426
"IQUIQUE, Avenida CAMPOS DE DEPORTE, BOMBERO JUAN GIRAO",-20.2254732,-70.1318466
"IQUIQUE, BARROS ARANA, SAN MARTIN",-20.2127018,-70.1471204
"IQUIQUE, Avenida SANTIAGO POLANCO, Avenida PLAYA BRAVA",-20.2478923,-70.1368759
"IQUIQUE, Avenida PEDRO PRADO, OHIGGINS",-20.2193218,-70.1347013
"IQUIQUE, Avenida PRAT, Avenida PLAYA BRAVA",-20.244478,-70.1410328
"IQUIQUE, Avenida PRAT, Avenida HEROES Heroes de la Concepcion",-20.2414367,-70.1342598
"IQUIQUE, Avenida La Tirana, Avenida La Tirana",-20.2543166,-70.1260602
"IQUIQUE, OHIGGINS, Avenida HEROES Heroes de la Concepcion",-20.2414367,-70.1342598
"ALTO HOSPICIO, LOS ALOMSO CON LOS ALMENDROS, 2790",-20.2556598,-70.1069637
"IQUIQUE, PEDRO GAMBONI, Avenida PEDRO PRADO",-20.2364664,-70.1360525
"POZO ALMONTE, ESTACION, 5",-20.2612535,-69.7846354
"IQUIQUE, ZEGERS, JUAN MARTINESZ",-20.217696,-70.1452689
"IQUIQUE, Avenida SANTIAGO POLANCO, Avenida Arturo Prat",-20.2486089,-70.1382111
"IQUIQUE, LOS ALGARROBOS, 3238",-20.25001,-70.12631
"IQUIQUE, TUCAPEL, 2446",-20.2401532,-70.1339695
