,Fecha,Hora,Comuna,Accidentes,Causas,Muertos,Graves,Menos Graves,Leves,Ilesos,Urbano/Rural,Latitud,Longitud
0,01/01/2010,02:54,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,0,URBANO,-20.2212841,-70.1348904
1,01/01/2010,04:14,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,0,URBANO,-20.2307033,-70.1356692
2,01/01/2010,10:50,ALTO HOSPICIO,Colisión,Conducción en estado de ebriedad,0,1,0,1,0,URBANO,-20.2652492,-70.1055102
3,01/01/2010,17:25,POZO ALMONTE,Volcadura,Perdida control vehículo,0,0,0,5,0,URBANO,-20.2570503,-69.7857064
4,02/01/2010,21:39,IQUIQUE,Atropello,No respetar derecho preferente de paso a peatón,0,0,1,0,1,URBANO,-20.2160713,-70.1451094
5,03/01/2010,11:30,PICA,Volcadura,Perdida control vehículo,0,0,0,0,1,RURAL,-20.9814192,-68.6379674
6,03/01/2010,16:50,IQUIQUE,Choque,No respetar derecho preferente de paso a peatón,0,0,0,0,1,URBANO,-20.2154831,-70.1401029
7,03/01/2010,22:15,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,-20.2148742,-70.1485661
8,04/01/2010,10:10,ALTO HOSPICIO,Volcadura,Perdida control vehículo,0,0,0,1,0,RURAL,-20.2686722,-70.1049169
9,04/01/2010,11:15,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,-20.2184918,-70.1494876
10,05/01/2010,22:30,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,-20.2350388,-70.1325303
11,06/01/2010,01:20,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2184918,-70.1494876
12,06/01/2010,19:00,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,-20.2152505,-70.1435156
13,06/01/2010,19:10,ALTO HOSPICIO,Colisión,"Señalización, desobedecer señal pare",0,0,0,2,1,URBANO,-20.2686722,-70.1049169
