Fecha,Hora,Comuna,Accdtes.,Causas,Muertos,Graves,Menos Graves,Leves,Ilesos,Urbano/Rural,Calleuno,Calledos,Frentenumero,Ruta,Ubicación km,Direccion,Latitud,Longitud
01/01/2010,02:54,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,0,URBANO,PEDRO PRADO,ORELLA,,,,"IQUIQUE, PEDRO PRADO, ORELLA",-20.2212841,-70.1348904
01/01/2010,04:14,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,0,URBANO,AV. LA TIRANA,CALLE 6,,,,"IQUIQUE, AV. LA TIRANA, CALLE 6",-20.2307033,-70.1356692
02/01/2010,21:39,IQUIQUE,Atropello,No respetar derecho preferente de paso a peatón,0,0,1,0,1,URBANO,JUAN MARTINEZ,SARGENTO ALDEA,,,,"IQUIQUE, JUAN MARTINEZ, SARGENTO ALDEA",-20.2160713,-70.1451094
03/01/2010,11:30,PICA,Volcadura,Perdida control vehículo,0,0,0,0,1,RURAL,CAMINO PRIVADO MINERA COLLAHUASI,,24,,,"PICA, CAMINO PRIVADO MINERA COLLAHUASI, 24",-20.9814192,-68.6379674
03/01/2010,16:50,IQUIQUE,Choque,No respetar derecho preferente de paso a peatón,0,0,0,0,1,URBANO,THOMPSON,OSCAR BONILLA,,,,"IQUIQUE, THOMPSON, OSCAR BONILLA",-20.2154831,-70.1401029
03/01/2010,22:15,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,THOMPSON,VIVAR,,,,"IQUIQUE, THOMPSON, VIVAR",-20.2148742,-70.1485661
04/01/2010,11:15,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,RAMIREZ,,1270,,,"IQUIQUE, RAMIREZ, 1270",-20.2202073,-70.1494388
05/01/2010,22:30,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,RANCAGUA,CACHARPAYAS,,,,"IQUIQUE, RANCAGUA, CACHARPAYAS",-20.2350388,-70.1325303
06/01/2010,01:20,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,RAMIREZ,,1162,,,"IQUIQUE, RAMIREZ, 1162",-20.2191755,-70.1493946
06/01/2010,19:00,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,ERRAZURIS,THOMPSON,,,,"IQUIQUE, ERRAZURIS, THOMPSON",-20.2152505,-70.1435156
06/01/2010,19:15,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,1,0,0,1,URBANO,RAMIREZ,GOROSTIAGA,,,,"IQUIQUE, RAMIREZ, GOROSTIAGA",-20.2168749,-70.1494213
06/01/2010,23:10,IQUIQUE,Colisión,"Señalización, desobedecer señal ceda el paso",0,0,0,4,2,URBANO,18 DE SEPTIEMBRE,LIBERTAD,,,,"IQUIQUE, 18 DE SEPTIEMBRE, LIBERTAD",-20.2307033,-70.1356692
07/01/2010,14:30,ALTO HOSPICIO,Atropello,"Señalización, desobedecer luz roja de semáforo",0,0,1,0,0,URBANO,AV. LOS ALAMOS CON RAMON PEREZ OPAZO,,2500,,,"ALTO HOSPICIO, AV. LOS ALAMOS CON RAMON PEREZ OPAZO, 2500",-20.2740456,-70.1008643
07/01/2010,19:19,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,ARTURO PRAT,AEROPUERTO,,,,"IQUIQUE, ARTURO PRAT, AEROPUERTO",-20.244478,-70.1410328
08/01/2010,16:30,IQUIQUE,Colisión,"Señalización, desobedecer luz roja de semáforo",0,0,0,1,2,URBANO,TADEO HAENKE,GENARO GALLO,,,,"IQUIQUE, TADEO HAENKE, GENARO GALLO",-20.2394749,-70.1403552
08/01/2010,22:36,IQUIQUE,Volcadura,"Señalización, desobedecer señal ceda el paso",0,1,0,1,0,URBANO,la torre,21 de mayo,,,,"IQUIQUE, la torre, 21 de mayo",-20.2307033,-70.1356692
09/01/2010,09:55,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,OSCAR BONILLA,DIEGO PORTALES,,,,"IQUIQUE, OSCAR BONILLA, DIEGO PORTALES",-20.2297964,-70.1422898
09/01/2010,19:00,ALTO HOSPICIO,Atropello,"Vehiculo en retroceso, conducir",0,0,0,1,0,URBANO,AV. LOS CONODRES CON TARAPACA,,2380,,,"ALTO HOSPICIO, AV. LOS CONODRES CON TARAPACA, 2380",-20.2758634,-70.0977978
10/01/2010,04:20,IQUIQUE,Colisión,Conducción en estado de ebriedad,0,0,2,2,0,URBANO,OHIGGINS,VIVAR,,,,"IQUIQUE, OHIGGINS, VIVAR",-20.218536,-70.1488892
11/01/2010,01:00,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,AVDA. CHIPANA,,,,,"IQUIQUE, AVDA. CHIPANA",-20.2307033,-70.1356692
11/01/2010,10:30,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,1,1,URBANO,AVDA. ARTURO PRAT,,,,,"IQUIQUE, AVDA. ARTURO PRAT",-20.2484469,-70.1381101
11/01/2010,12:10,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,1,1,URBANO,OBISPO LABBE,MANUEL RODRIGUEZ,,,,"IQUIQUE, OBISPO LABBE, MANUEL RODRIGUEZ",-20.2233179,-70.1505699
11/01/2010,20:30,ALTO HOSPICIO,Atropello,"Vehiculo en retroceso, conducir",0,0,0,1,1,URBANO,AV. LOS CONDORES CON LA GRANJA,,3290,,,"ALTO HOSPICIO, AV. LOS CONDORES CON LA GRANJA, 3290",-20.2719484,-70.1029629
11/01/2010,21:40,ALTO HOSPICIO,Atropello,"Peatón, cruza calzada forma sorpresiva o descuidada",0,0,1,0,1,URBANO,AV. LAS AMERICAS CON CARMELA CARVAJAL,,2900,,,"ALTO HOSPICIO, AV. LAS AMERICAS CON CARMELA CARVAJAL, 2900",-20.2800542,-70.1007563
12/01/2010,14:00,ALTO HOSPICIO,Atropello,"Peatón, cruza calzada forma sorpresiva o descuidada",0,0,1,1,0,URBANO,PASAJE SAN FRANCISCO,,4151,,,"ALTO HOSPICIO, PASAJE SAN FRANCISCO, 4151",-20.278689,-70.0910657
12/01/2010,20:20,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,1,URBANO,gomez carreño,,,,,"IQUIQUE, gomez carreño",-20.2333352,-70.1324357
13/01/2010,02:40,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,avda. arturo prat,,,,,"IQUIQUE, avda. arturo prat",-20.2484469,-70.1381101
14/01/2010,15:50,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,2,URBANO,HEROES DE LA CONCEPCION,CESPEDES Y GONZALEZ,,,,"IQUIQUE, HEROES DE LA CONCEPCION, CESPEDES Y GONZALEZ",-20.2247382,-70.139754
15/01/2010,12:25,ALTO HOSPICIO,Atropello,No respetar derecho preferente de paso a peatón,0,0,1,0,1,URBANO,LOS MANZANOS CON LOS ALAMOS,,2590,,,"ALTO HOSPICIO, LOS MANZANOS CON LOS ALAMOS, 2590",-20.2686722,-70.1049169
15/01/2010,18:00,IQUIQUE,Choque,"Fallas mecánicas, dirección",0,0,0,2,3,URBANO,TADEO HAENKE,CERRO DRAGON,,,,"IQUIQUE, TADEO HAENKE, CERRO DRAGON",-20.2386682,-70.1296108
16/01/2010,08:00,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,LOS RIELES,ORELLA,,,,"IQUIQUE, LOS RIELES, ORELLA",-20.2208235,-70.1432206
17/01/2010,01:35,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,1,0,1,URBANO,EMILIO RECABARREN,ARTURO PRAT,,,,"IQUIQUE, EMILIO RECABARREN, ARTURO PRAT",-20.23336,-70.14116
17/01/2010,15:45,ALTO HOSPICIO,Choque,Conducción no atento condiciones transito momento,0,0,2,0,2,URBANO,AV. LAS AMERICAS CON PAULA JARAQUEMADA,,2890,,,"ALTO HOSPICIO, AV. LAS AMERICAS CON PAULA JARAQUEMADA, 2890",-20.2828255,-70.1020691
18/01/2010,17:00,ALTO HOSPICIO,Atropello,Causas no determinadas,0,0,0,2,0,URBANO,AV. LOS ALAMOS CON LOS NOGALES,,3200,,,"ALTO HOSPICIO, AV. LOS ALAMOS CON LOS NOGALES, 3200",-20.2662507,-70.1025442
