X;Y;FID;FID_1;LABELID;POINT_X;POINT_Y;FID_2;COMUNAREAL;VAL_COM;OBJECTID;A_O;IDACCIDENT;REGION;COD_COMUN;COMUNA;CALLE_UNO;CALLE_DOS;NUMERO;DIR_GEOCOD;PAIS;TIPO;OBJECTID_1;Año;Idaccide_1;Claseaccid;Fecha;Hora;Cód_Regi;Región;Cód_Comun;Comuna_1;Cód_Tipo_;Tipo_Accid;Cód_Tipo1;Tipo__CONA;Cód_Zona;Zona;Cód_Ubica;Ubicación;Cód_Causa;Causa__CON;Cód_Cau_1;Causa;Cód_Calle;Calle_Un_1;Cód_Cal_1;Calle_Do_1;Intersecci;Número;Ruta;Cód_Ruta;Ubicaci_1;Km_Vía_Fe;Pistas_de_;Pistas_de1;Cód_Calza;Calzada;Cód__Tipo;Tipo_Calza;Cód_Estad;Estado_Cal;Cód_Condi;Condición;Cód_Est_1;Estado_Atm;Fallecidos;Graves;Menos_Grav;Leves;Ilesos
-7,80757E+14;-2,30115E+14;1;14920;1353884;-701365793;-202372057;258;IQUIQUE;1;21089;2021;1353884;REGION TARAPACA;1101;IQUIQUE;SALVADOR ALLENDE; ;2735;SALVADOR ALLENDE 2735, IQUIQUE;CHILE;RANGE_INTERPOLATED;29070;2021;1353884;1;02-06-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;51;CHOQUE FRONTAL;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;SALVADOR ALLENDE;0; ;- SALVADOR ALLENDE;2735; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;3
-7,80757E+14;-2,30115E+14;2;14921;1354554;-701365793;-202372057;258;IQUIQUE;1;21555;2021;1354554;REGION TARAPACA;1101;IQUIQUE;PEDRO PRADO; ;2735;PEDRO PRADO 2735, IQUIQUE;CHILE;RANGE_INTERPOLATED;29714;2021;1354554;1;04-06-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;62;CHOQUE FRENTE/LADO;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;PEDRO PRADO;0; ;- PEDRO PRADO;2735; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80741E+14;-2,30115E+14;3;14922;1326940;-701351266;-202372023;258;IQUIQUE;1;3017;2021;1326940;REGION TARAPACA;1101;IQUIQUE;SALVADOR ALLENDE; ;2252;SALVADOR ALLENDE 2252, IQUIQUE;CHILE;RANGE_INTERPOLATED;4153;2021;1326940;1;20-01-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;30;COLISION;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;1;IMPRUDENCIA DEL CONDUCTOR;28;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;0;SALVADOR ALLENDE;0; ;- SALVADOR ALLENDE;2252; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80799E+14;-2,30115E+14;4;14923;1408929;-701403943;-202371859;258;IQUIQUE;1;58143;2021;1408929;REGION TARAPACA;1101;IQUIQUE;LAS ROSAS; ;1915;LAS ROSAS 1915, IQUIQUE;CHILE;RANGE_INTERPOLATED;78954;2021;1408929;1;23-12-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;66;CHOQUE LADO/POSTERIOR;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;9;PERDIDA CONTROL VEHICULO;95;PERDIDA CONTROL VEHICULO;0;LAS ROSAS;0; ;- LAS ROSAS;1915; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;3
-7,80682E+14;-2,30114E+14;5;14924;1354511;-701298896;-20237095;258;IQUIQUE;1;21430;2021;1354511;REGION TARAPACA;1101;IQUIQUE;CERRO DRAGON; ;2770;CERRO DRAGON 2770, IQUIQUE;CHILE;RANGE_INTERPOLATED;29543;2021;1354511;1;03-06-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;66;CHOQUE LADO/POSTERIOR;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;CERRO DRAGON;0; ;- CERRO DRAGON;2770; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80709E+14;-2,30113E+14;6;14925;1367396;-701322999;-202369788;258;IQUIQUE;1;30545;2021;1367396;REGION TARAPACA;1101;IQUIQUE;ARTURO PRAT;FRANCISCO BILBAO;0;ARTURO PRAT & FRANCISCO BILBAO, IQUIQUE;CHILE;GEOMETRIC_CENTER;42212;2021;1367396;1;29-07-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;32;COLISION LATERAL;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;ARTURO PRAT;0;FRANCISCO BILBAO;ARTURO PRAT - FRANCISCO BILBAO;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80754E+13;-2,30111E+14;7;14926;1345122;-701363243;-2023682;258;IQUIQUE;1;15129;2021;1345122;REGION TARAPACA;1101;IQUIQUE;SALVADOR ALLENDE; ;2736;SALVADOR ALLENDE 2736, IQUIQUE;CHILE;RANGE_INTERPOLATED;20849;2021;1345122;1;22-04-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;53;CHOQUE POSTERIOR;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;SALVADOR ALLENDE;0; ;- SALVADOR ALLENDE;2736; ; ;; ;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80754E+13;-2,30111E+14;8;14927;1347792;-701363243;-2023682;258;IQUIQUE;1;17166;2021;1347792;REGION TARAPACA;1101;IQUIQUE;SALVADOR ALLENDE; ;2736;SALVADOR ALLENDE 2736, IQUIQUE;CHILE;RANGE_INTERPOLATED;23656;2021;1347792;1;07-05-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;63;CHOQUE FRENTE/POSTERIOR;40;CHOQUE;1;URBANA;26;OTROS NO CONSIDERADOS;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;SALVADOR ALLENDE;0; ;- SALVADOR ALLENDE;2736; ; ;; ;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;3
-7,8089E+14;-2,3011E+14;9;14928;1364397;-701485314;-202367757;258;IQUIQUE;1;28604;2021;1364397;REGION TARAPACA;1101;IQUIQUE;FILOMENA VALENZUELA;SANTA COLOMA DE FARNES;0;FILOMENA VALENZUELA & SANTA COLOMA DE FARNES, IQUIQUE;CHILE;GEOMETRIC_CENTER;39527;2021;1364397;1;18-07-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;10;ATROPELLO;10;ATROPELLO;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;FILOMENA VALENZUELA;0;SANTA COLOMA DE FARNES;FILOMENA VALENZUELA - SANTA COLOMA DE FARNES;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;1;1
-7,80877E+14;-2,3011E+14;10;14929;1371041;-701474119;-202367544;258;IQUIQUE;1;33080;2021;1371041;REGION TARAPACA;1101;IQUIQUE;ARTURO PRAT;ROTONDA DE TADEO HAENKE;0;ARTURO PRAT & ROTONDA DE TADEO HAENKE, IQUIQUE;CHILE;GEOMETRIC_CENTER;45609;2021;1371041;1;12-08-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;52;CHOQUE LATERAL;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;ARTURO PRAT;0;ROTONDA DE TADEO HAENKE;ARTURO PRAT - ROTONDA DE TADEO HAENKE;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80767E+14;-2,30109E+13;11;14932;1349958;-701374886;-202366388;258;IQUIQUE;1;15625;2021;1349958;REGION TARAPACA;1101;IQUIQUE;PEDRO PRADO VIEJO;LAS TRINITARIAS;0;PEDRO PRADO VIEJO & LAS TRINITARIAS, IQUIQUE;CHILE;GEOMETRIC_CENTER;21520;2021;1349958;1;26-04-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;64;CHOQUE LADO/FRENTE;40;CHOQUE;1;URBANA;26;OTROS NO CONSIDERADOS;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;PEDRO PRADO VIEJO;0;LAS TRINITARIAS;LAS TRINITARIAS - PEDRO PRADO VIEJO;0; ; ;; ;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80815E+14;-2,30108E+14;12;14933;1393324;-701418462;-202366181;258;IQUIQUE;1;48656;2021;1393324;REGION TARAPACA;1101;IQUIQUE;AEROPUERTO;LAS ROSAS;0;AEROPUERTO & LAS ROSAS, IQUIQUE;CHILE;GEOMETRIC_CENTER;66331;2021;1393324;1;05-11-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;66;CHOQUE LADO/POSTERIOR;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;AEROPUERTO;0;LAS ROSAS;AEROPUERTO - LAS ROSAS;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;3
-7,80818E+13;-2,30107E+14;13;14935;1345180;-701420811;-202365343;258;IQUIQUE;1;15143;2021;1345180;REGION TARAPACA;1101;IQUIQUE;LAS ROSAS;LUIS EMILIO RECABARREN;0;LAS ROSAS & LUIS EMILIO RECABARREN, IQUIQUE;CHILE;GEOMETRIC_CENTER;20871;2021;1345180;1;22-04-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;30;COLISION;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;LAS ROSAS;0;LUIS EMILIO RECABARREN;LAS ROSAS - LUIS EMILIO RECABARREN;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80818E+13;-2,30107E+14;14;14936;1384096;-701420811;-202365343;258;IQUIQUE;1;41619;2021;1384096;REGION TARAPACA;1101;IQUIQUE;LUIS EMILIO RECABARREN;LAS ROSAS;0;LUIS EMILIO RECABARREN & LAS ROSAS, IQUIQUE;CHILE;GEOMETRIC_CENTER;57034;2021;1384096;1;29-09-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;32;COLISION LATERAL;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;LUIS EMILIO RECABARREN;0;LAS ROSAS;LAS ROSAS - LUIS EMILIO RECABARREN;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;1;1
-7,80751E+13;-2,30106E+14;15;14939;1329910;-701360525;-202364664;258;IQUIQUE;1;4656;2021;1329910;REGION TARAPACA;1101;IQUIQUE;PEDRO PRADO;PEDRO GAMBONI;0;PEDRO PRADO & PEDRO GAMBONI, IQUIQUE;CHILE;GEOMETRIC_CENTER;6525;2021;1329910;1;02-02-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;30;COLISION;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;PEDRO PRADO;0;PEDRO GAMBONI;PEDRO GAMBONI - PEDRO PRADO;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80751E+13;-2,30106E+14;16;14940;1360934;-701360525;-202364664;258;IQUIQUE;1;25398;2021;1360934;REGION TARAPACA;1101;IQUIQUE;SALVADOR ALLENDE;PEDRO GAMBONI;0;SALVADOR ALLENDE & PEDRO GAMBONI, IQUIQUE;CHILE;GEOMETRIC_CENTER;35098;2021;1360934;1;29-06-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;10;ATROPELLO;10;ATROPELLO;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;SALVADOR ALLENDE;0;PEDRO GAMBONI;PEDRO GAMBONI - SALVADOR ALLENDE;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;1;0;0;1
-7,80751E+13;-2,30106E+14;17;14941;1366808;-701360525;-202364664;258;IQUIQUE;1;30070;2021;1366808;REGION TARAPACA;1101;IQUIQUE;PEDRO GAMBONI;SALVADOR ALLENDE;0;PEDRO GAMBONI & SALVADOR ALLENDE, IQUIQUE;CHILE;GEOMETRIC_CENTER;41581;2021;1366808;1;27-07-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;31;COLISION FRONTAL;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;PEDRO GAMBONI;0;SALVADOR ALLENDE;PEDRO GAMBONI - SALVADOR ALLENDE;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;1;3
