X;Y;FID;POINT_X;POINT_Y;Idaccident;Año;Claseaccid;Fecha;Cód_Regi;Región;Cód_Comun;Comuna;Cód_Tipo;Tipo_Accid;Cód_Tip_1;Tipo__CONA;Cód_Zona;Zona;Cód_Ubica;Ubicación;Cód_Causa;Causa;Cód_Cau_1;Causa__CON;Cód_Calle;Calle_Uno;Cód_Cal_1;Calle_Dos;Intersecci;Número;Ruta;Cód_Ruta;Ubicaci_1;Pistas_de;Pistas_d_1;Cód_Calza;Calzada;Cód__Tipo;Tipo_Calza;Cód_Estad;Estado_Cal;Cód_Condi;Condición;Cód_Est_1;Estado_Atm;Fallecidos;Graves;Menos_Grav;Leves;Ilesos;Hora
-7,80969E+14;-2,29859E+14;1;-70155631;-202156;1409189;2022;1;31-12-2021 21:00;1;REGION TARAPACA;1101;IQUIQUE;32;COLISION LATERAL;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;ARTURO PRAT;0;GRUMETE BOLADOS;ARTURO PRAT - GRUMETE BOLADOS;0;0;0;0;2;2;3;BIDIRECCIONAL CON BANDEJON;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;1:00:00
-7,80733E+14;-2,30019E+14;2;-70134435;-2022909;1409196;2022;1;31-12-2021 21:00;1;REGION TARAPACA;1101;IQUIQUE;63;CHOQUE FRENTE/POSTERIOR;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;HERNAN FUENZALIDA;0;13 ORIENTE;13 ORIENTE - HERNAN FUENZALIDA;0;0;0;0;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;14:11:00
-7,80874E+14;-2,29987E+14;3;-70147066;-20226409;1409197;2022;1;31-12-2021 21:00;1;REGION TARAPACA;1101;IQUIQUE;32;COLISION LATERAL;30;COLISION;1;URBANA;15;CRUCE CON SEÑAL CEDA EL PASO;64;SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO;10;DESOBEDIENCIA A SEÑALIZACION;0;AMUNATEGUI;0;JOSE MIGUEL CARRERA;AMUNATEGUI - JOSE MIGUEL CARRERA;0;0;0;0;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;20:40:00
-7,80854E+14;-2,29754E+14;4;-70145267;-20206753;1409474;2022;1;31-12-2021 21:00;1;REGION TARAPACA;1101;IQUIQUE;10;ATROPELLO;10;ATROPELLO;1;URBANA;1;TRAMO DE VIA RECTA;24;CONDUCCION EN ESTADO DE EBRIEDAD;4;ALCOHOL EN CONDUCTOR;0;ARTURO PRAT;0;AMUNATEGUI;AMUNATEGUI - ARTURO PRAT;0;0;0;0;2;2;3;BIDIRECCIONAL CON BANDEJON;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;2;1;10:00:00
-7,80923E+14;-2,29804E+14;5;-70151496;-20210931;1409483;2022;1;31-12-2021 21:00;1;REGION TARAPACA;1101;IQUIQUE;34;COLISION PERPENDICULAR;30;COLISION;1;URBANA;11;CRUCE CON SEMAFORO FUNCIONANDO;62;SEÑALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO;10;DESOBEDIENCIA A SEÑALIZACION;0;SOTOMAYOR;0;ARTURO PRAT;ARTURO PRAT - SOTOMAYOR;0;0;0;0;2;2;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;12:40:00
-7,80733E+14;-2,30002E+14;6;-70134454;-20227664;1410085;2022;1;31-12-2021 21:00;1;REGION TARAPACA;1101;IQUIQUE;62;CHOQUE FRENTE/LADO;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;TOMAS BONILLA;0;0;- TOMAS BONILLA;2182;0;0;0;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;19:00:00
-7,80824E+14;-2,30001E+14;7;-70142621;-20227596;1410102;2022;1;02-01-2022 21:00;1;REGION TARAPACA;1101;IQUIQUE;34;COLISION PERPENDICULAR;30;COLISION;1;URBANA;14;CRUCE CON SEÑAL PARE;65;SEÑALIZACION DESOBEDECER SEÑAL PARE;10;DESOBEDIENCIA A SEÑALIZACION;0;21 DE MAYO;0;TOMAS BONILLA;21 DE MAYO - TOMAS BONILLA;0;0;0;0;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;1;0;2;0;8:30:00
-7,8036E+14;-2,30751E+14;8;-70100895;-20290769;1410318;2022;1;31-12-2021 21:00;1;REGION TARAPACA;1107;ALTO HOSPICIO;50;CHOQUE;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;GLADYS MARIN;0;FRANCIA;FRANCIA - GLADYS MARIN;0;0;0;0;1;1;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;4;5:30:00
-7,80455E+14;-2,30831E+14;9;-70109454;-20297497;1410325;2022;1;31-12-2021 21:00;1;REGION TARAPACA;1107;ALTO HOSPICIO;50;CHOQUE;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;PASAJE TREINTA Y SEIS;0;CALLE NUEVE;CALLE NUEVE - PASAJE TREINTA Y SEIS;0;0;0;0;1;1;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;1;14:16:00
-7,80376E+13;-2,30792E+14;10;-70102392;-20294232;1410332;2022;1;01-01-2022 21:00;1;REGION TARAPACA;1107;ALTO HOSPICIO;32;COLISION LATERAL;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;29;CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION;1;IMPRUDENCIA DEL CONDUCTOR;0;POLONIA;0;GLADYS MARIN;GLADYS MARIN - POLONIA;0;0;0;0;2;2;3;BIDIRECCIONAL CON BANDEJON;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;1;0;1;15:30:00
