X;Y;FID;Idaccident;Latitude;Longitude;Fecha;Hora;Cód_Regi;Región;Comuna;Tipo_Accid;Tipo__CONA;Zona;Ubicación;Causa;Causa__CON;Calle_Uno;Calle_Dos;Intersecci;Número;Calzada;Tipo_Calza;Estado_Cal;Condición;Estado_Atm;Fallecidos;Lesionados;Graves;Menos_Grav;Leves
-7,80732E+14;-2,30005E+14;1;1500632;-20227954;-70134381;31-12-2022 21:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE FRONTAL;CHOQUE;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;CIRCUNVALACION; ;- CIRCUNVALACION;13;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80948E+14;-2,29822E+14;2;1500668;-20212449;-70153777;31-12-2022 21:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION PERPENDICULAR;COLISION;URBANA;TRAMO DE VIA RECTA;SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO;DESOBEDIENCIA A SEÑALIZACION;ARTURO PRAT; ;- ARTURO PRAT;350;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,8084E+14;-2,29838E+14;3;1500652;-20213847;-70144047;31-12-2022 21:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION PERPENDICULAR;COLISION;URBANA;CRUCE CON SEMAFORO FUNCIONANDO;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;SERRANO;ARTURO FERNANDEZ;ARTURO FERNANDEZ - SERRANO;0;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80669E+14;-2,30388E+14;4;1501416;-20260234;-70128685;31-12-2022 21:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE POSTERIOR/LADO;CHOQUE;URBANA;TRAMO DE VIA RECTA;VELOCIDAD NO RAZONABLE NI PRUDENTE;VELOCIDAD IMPRUDENTE;PUKARA TURI; ;- PUKARA TURI;3684;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80401E+14;-2,3076E+14;5;1501990;-20291521;-70104608;31-12-2022 21:00;21:00:00;1;REGION TARAPACA;ALTO HOSPICIO;COLISION;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;LAS AMERICAS;ALEMANIA;ALEMANIA - LAS AMERICAS;0;BIDIRECCIONAL;CONCRETO;REGULAR;SECO;DESPEJADO;0;0;0;0;0
-7,80683E+14;-2,30421E+14;6;1501653;-20262987;-70129949;01-01-2023 21:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE FRONTAL;CHOQUE;URBANA;TRAMO DE VIA CURVA HORIZONTAL;CONDUCCION EN ESTADO DE EBRIEDAD;ALCOHOL EN CONDUCTOR;ARTURO PRAT; ;- ARTURO PRAT;3622;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;1;1;0;0
-7,80778E+14;-2,29824E+14;7;1500957;-20212629;-70138518;02-01-2023 21:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE LADO/POSTERIOR;CHOQUE;URBANA;CRUCE CON SEMAFORO FUNCIONANDO;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;HEROES DE LA CONCEPCION; ;- HEROES DE LA CONCEPCION;2555;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80922E+13;-2,29829E+14;8;1500952;-20213059;-70151384;02-01-2023 21:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;IMPRUDENCIA DEL CONDUCTOR;SERRANO;PATRICIO LYNCH;PATRICIO LYNCH - SERRANO;0;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80758E+14;-2,29814E+14;9;1501390;-20211849;-70136706;03-01-2023 21:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE FRENTE/POSTERIOR;CHOQUE;URBANA;CRUCE CON SEMAFORO FUNCIONANDO;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;SOTOMAYOR;LUIS JASPARD;LUIS JASPARD - SOTOMAYOR;0;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,8086E+14;-2,30079E+14;10;1501715;-20234182;-70145875;03-01-2023 21:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;ARTURO PRAT; ;- ARTURO PRAT;2748;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80759E+14;-2,29984E+14;11;1501934;-20226103;-70136739;04-01-2023 21:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE LADO/POSTERIOR;CHOQUE;URBANA;TRAMO DE VIA RECTA;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;IMPRUDENCIA DEL CONDUCTOR;COLO COLO; ;- COLO COLO;1833;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80714E+14;-2,29988E+13;12;1502095;-20226509;-70132765;04-01-2023 21:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CAIDA;CAIDA;URBANA;TRAMO DE VIA RECTA;PASAJERO SUBE O DESCIENDE DE VEHICULO MOVIMIENTO;IMPRUDENCIA DEL PASAJERO;PROGRESO;CHINTAGUAY;CHINTAGUAY - PROGRESO;0;UNIDIRECCIONAL;ASFALTO;REGULAR;SECO;DESPEJADO;0;1;0;0;1
-7,80801E+14;-2,30196E+14;13;1501866;-20244049;-70140583;04-01-2023 21:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION LATERAL;COLISION;URBANA;ROTONDA;SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO;DESOBEDIENCIA A SEÑALIZACION;ARTURO PRAT;TADEO HAENKE;ARTURO PRAT - TADEO HAENKE;0;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;2;0;0;2
-7,8079E+14;-2,30116E+14;14;1559485;-20237307;-70139562;15-09-2023 21:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE POSTERIOR/POSTERIOR;CHOQUE;URBANA;TRAMO DE VIA RECTA;VELOCIDAD NO RAZONABLE NI PRUDENTE;VELOCIDAD IMPRUDENTE;GENARO GALLO;LAS ROSAS;GENARO GALLO - LAS ROSAS;0;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
